Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,,
6/3/2016 0:00,180,18.32166,25.15332,35.32501,13.33667,11.45333,10.70001,12.90134,,,
6/3/2016 1:00,181,18.3,25.14666,35.29667,12.93666,11.5,10.70001,12.87112,,,
6/3/2016 2:00,182,18.3,25.14999,35.27836,12.615,11.55333,10.70001,12.84509,,,
6/3/2016 3:00,183,18.30333,25.09999,35.35003,12.29,11.6,10.70001,12.82495,,,
6/3/2016 4:00,184,18.32166,25.10332,35.27832,11.99334,11.6,10.70001,12.80732,,,
6/3/2016 5:00,185,18.35001,25.19998,35.37168,11.84333,11.6,10.77833,12.79725,,,
6/3/2016 6:00,186,18.275,25.17165,35.25333,11.59,11.6,10.79999,12.76619,,,
6/3/2016 7:00,187,18.25,25.15333,35.32169,11.265,11.59666,10.79999,12.82663,,,
6/3/2016 8:00,188,18.275,25.19668,35.32501,11.1,11.525,10.79999,12.88706,,,
6/3/2016 9:00,189,18.275,25.12831,35.29335,11.13167,11.5,10.79999,13.31854,,,
6/3/2016 10:00,190,18.21833,25.14664,35.27503,11.41333,11.44667,10.79999,13.34288,,,
6/3/2016 11:00,191,18.125,25.12499,35.20667,11.97333,11.4,10.82833,13.31014,,,
6/3/2016 12:00,192,18.09999,25.12832,35.275,12.83334,11.4,10.9,13.29419,,,
6/3/2016 13:00,193,18.04666,25.12498,35.25,13.805,11.4,10.875,13.29839,,,
6/3/2016 14:00,194,17.89668,25.12165,35.27166,14.65167,11.375,10.9,13.29755,,,
6/3/2016 15:00,195,17.74332,25.09999,35.22498,15.345,11.4,10.9,13.29503,,,
6/3/2016 16:00,196,17.64666,25.07499,35.25,15.86333,11.4,10.89667,13.26985,,,
6/3/2016 17:00,197,17.57166,25.10332,35.25333,16.09999,11.42833,10.87834,13.25138,,,
6/3/2016 18:00,198,17.44668,25.17165,35.25,16.04667,11.50333,10.875,13.25138,,,
6/3/2016 19:00,199,17.40001,25.04999,35.19332,15.94334,11.6,10.9,13.24718,,,
6/3/2016 20:00,200,17.40001,25.09999,35.15665,15.71833,11.65334,10.9,13.10196,,,
6/3/2016 21:00,201,17.375,25.12831,35.24664,15.46501,11.75333,10.9,13.03397,,,
6/3/2016 22:00,202,17.32499,25.09666,35.22834,15.05834,11.80333,10.9,12.98276,,,
6/3/2016 23:00,203,17.34666,25.07499,35.22164,14.55501,11.9,10.9,12.92736,,,
6/4/2016 0:00,204,17.29999,25.07166,35.20001,14.03667,11.95333,10.9,12.88623,,,
6/4/2016 1:00,205,17.29999,25.12832,35.20001,13.55834,12,10.9,12.85265,,,
6/4/2016 2:00,206,17.325,25.12498,35.14997,13.13667,12.00333,10.9,12.8325,,,
6/4/2016 3:00,207,17.29999,25.09999,35.19998,12.765,12.1,10.95333,12.80816,,,
6/4/2016 4:00,208,17.25334,25.1,35.25,12.49001,12.1,11,12.79053,,,
6/4/2016 5:00,209,17.31833,25.07499,35.19998,12.165,12.07167,11,12.78381,,,
6/4/2016 6:00,210,17.27832,25.12499,35.14997,11.86499,12,11,12.77374,,,
6/4/2016 7:00,211,17.32833,25.07499,35.20332,11.54001,12,11,12.78717,,,
6/4/2016 8:00,212,17.34332,25.09999,35.19332,11.32166,12,11.02833,12.85013,,,
6/4/2016 9:00,213,17.25332,25.04999,35.09999,11.35667,11.92167,11.1,13.23795,,,
6/4/2016 10:00,214,17.29333,25.09665,35.14999,11.66667,11.9,11.1,13.3454,,,
6/4/2016 11:00,215,17.20332,25.04999,35.17831,12.24833,11.82166,11.1,13.30259,,,
6/4/2016 12:00,216,17.11832,25.07832,35.17165,13.13667,11.79999,11.1,13.27656,,,
6/4/2016 13:00,217,17.02166,25.09999,35.125,14.18333,11.74667,11.1,13.25894,,,
6/4/2016 14:00,218,16.82499,25.12499,35.12498,15.12668,11.70001,11.1,13.26313,,,
6/4/2016 15:00,219,16.77167,25.12499,35.07166,15.89833,11.70001,11.1,13.25222,,,
6/4/2016 16:00,220,16.72168,25.09999,35.03166,16.51666,11.77833,11.1,13.23375,,,
6/4/2016 17:00,221,16.62166,25.09999,35.07166,16.79999,11.79999,11.1,13.21277,,,
6/4/2016 18:00,222,16.51834,25.09999,35.05,16.74667,11.87834,11.1,13.21109,,,
6/4/2016 19:00,223,16.42501,25.09665,35.07832,16.59333,11.92833,11.1,13.18423,,,
6/4/2016 20:00,224,16.40001,25.07832,35.07166,16.36499,12.00333,11.1,13.08517,,,
6/4/2016 21:00,225,16.42834,25.07499,35.07499,16.06167,12.1,11.1,13.01634,,,
6/4/2016 22:00,226,16.42168,25.07499,35.09999,15.60834,12.17834,11.1,12.95254,,,
6/4/2016 23:00,227,16.42834,25.05,34.99666,15.08001,12.25333,11.1,12.90385,,,
6/5/2016 0:00,228,16.42168,25.09999,35.02833,14.50833,12.30333,11.1,12.86524,,,
6/5/2016 1:00,229,16.42834,25.07499,35.02501,14.00833,12.40001,11.15334,12.8325,,,
6/5/2016 2:00,230,16.44668,25.09665,34.97168,13.53667,12.40001,11.20001,12.81152,,,
6/5/2016 3:00,231,16.47833,25.05332,35.02833,13.13667,12.40001,11.20001,12.79137,,,
6/5/2016 4:00,232,16.5,25.09999,35.09665,12.73666,12.40001,11.20001,12.77794,,,
6/5/2016 5:00,233,16.5,25.07166,35.04999,12.33667,12.40001,11.20001,12.76115,,,
6/5/2016 6:00,234,16.49999,25.05332,35,11.99001,12.40001,11.20334,12.75275,,,
6/5/2016 7:00,235,16.5,25.09999,35.02499,11.665,12.37166,11.29999,12.78633,,,
6/5/2016 8:00,236,16.5,25.07166,35,11.42167,12.29999,11.29999,12.83082,,,
6/5/2016 9:00,237,16.5,25,35,11.48166,12.27167,11.29999,13.222,,,
6/5/2016 10:00,238,16.52833,25.04999,35.00334,11.79166,12.19667,11.29999,13.33365,,,
6/5/2016 11:00,239,16.49667,25.05332,35.02167,12.42667,12.1,11.29999,13.29419,,,
6/5/2016 12:00,240,16.39667,25.05,35,13.31167,12.09666,11.29999,13.27069,,,
6/5/2016 13:00,241,16.34334,25.07166,34.95001,14.38001,12,11.29999,13.25222,,,
6/5/2016 14:00,242,16.20001,25,34.95001,15.33334,12,11.29999,13.25054,,,
6/5/2016 15:00,243,16.065,25.02833,34.91835,16.19834,12,11.29999,13.23963,,,
6/5/2016 16:00,244,15.95001,25.02167,34.87502,16.83834,12,11.29999,13.22032,,,
6/5/2016 17:00,245,15.92167,25.04999,34.87835,17.07833,12.05333,11.29999,13.20102,,,
6/5/2016 18:00,246,15.82499,25,34.89668,17.04667,12.1,11.29999,13.1943,,,
6/5/2016 19:00,247,15.79999,25,34.79668,16.89333,12.17834,11.29999,13.16744,,,
6/5/2016 20:00,248,15.79999,25,34.78168,16.66499,12.27833,11.29999,13.07594,,,
6/5/2016 21:00,249,15.81833,25,34.82502,16.39,12.35334,11.29999,13.0071,,,
6/5/2016 22:00,250,15.78167,24.97501,34.82502,16.005,12.42833,11.29999,12.94918,,,
6/5/2016 23:00,251,15.82499,25,34.84668,15.38333,12.5,11.29999,12.89882,,,
6/6/2016 0:00,252,15.825,25.025,34.82503,14.90834,12.57833,11.29999,12.8644,,,
6/6/2016 1:00,253,15.79999,25.02833,34.77166,14.43667,12.59999,11.35334,12.82914,,,
6/6/2016 2:00,254,15.82499,24.99334,34.77836,14.03667,12.65334,11.4,12.80732,,,
6/6/2016 3:00,255,15.825,25.00333,34.77166,13.63667,12.70001,11.4,12.78885,,,
6/6/2016 4:00,256,15.82499,25.02833,34.75336,13.29,12.70001,11.4,12.77794,,,
6/6/2016 5:00,257,15.80333,25.02167,34.80002,12.94,12.69667,11.4,12.76367,,,
6/6/2016 6:00,258,15.82166,25.04999,34.82169,12.665,12.59999,11.425,12.75108,,,
6/6/2016 7:00,259,15.79999,25.00333,34.77836,12.41834,12.59999,11.47833,12.79305,,,
6/6/2016 8:00,260,15.79999,25.02167,34.80002,12.29999,12.59999,11.5,12.83166,,,
6/6/2016 9:00,261,15.85001,25.025,34.72501,12.38167,12.52167,11.5,12.98192,,,
6/6/2016 10:00,262,15.85,25.02833,34.77166,12.60667,12.5,11.5,13.03397,,,
6/6/2016 11:00,263,15.82833,25.07166,34.725,12.81333,12.44667,11.5,13.35883,,,
6/6/2016 12:00,264,15.79666,25.025,34.725,13.37333,12.40001,11.5,13.30846,,,
6/6/2016 13:00,265,15.775,25,34.75,14.01667,12.40001,11.5,13.19766,,,
6/6/2016 14:00,266,15.79999,25,34.75333,14.32834,12.32166,11.525,13.31518,,,
6/6/2016 15:00,267,15.76833,25,34.72498,14.51667,12.29999,11.52499,13.25306,,,
6/6/2016 16:00,268,15.61833,25,34.72164,15.22667,12.29999,11.5,13.22368,,,
6/6/2016 17:00,269,15.55332,24.99667,34.69998,15.86333,12.29999,11.5,13.1901,,,
6/6/2016 18:00,270,15.50334,24.95333,34.67497,16.18167,12.37834,11.5,13.20689,,,
6/6/2016 19:00,271,15.465,24.95001,34.67499,16.26833,12.40001,11.5,13.11623,,,
6/6/2016 20:00,272,15.34999,24.95334,34.67165,15.96501,12.45333,11.5,13.03648,,,
6/6/2016 21:00,273,15.27168,24.99334,34.65332,15.63667,12.5,11.5,12.97269,,,
6/6/2016 22:00,274,15.28499,24.92501,34.64665,15.315,12.55333,11.5,12.91812,,,
6/6/2016 23:00,275,15.415,24.90335,34.59998,14.93667,12.59999,11.52499,12.88035,,,
6/7/2016 0:00,276,15.25,24.97167,34.62498,14.45833,12.65334,11.57833,12.84509,,,
6/7/2016 1:00,277,15.435,24.95333,34.62832,14.115,12.70001,11.6,12.81487,,,
