Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,
5/31/2016 21:00,150,21.06499,27.97501,36.07499,14.98334,11.45333,10.79999,13.07426,,
5/31/2016 22:00,151,21.13999,27.97167,36.09999,14.40167,11.57833,10.79999,13.0155,,
5/31/2016 23:00,152,20.65667,27.90001,36.07499,13.72667,11.62834,10.79999,12.97605,,
6/1/2016 0:00,153,20.82833,27.90001,36.10332,13.08001,11.70001,10.79999,12.93407,,
6/1/2016 1:00,154,20.82167,27.90001,36.14666,12.53334,11.725,10.79999,12.90134,,
6/1/2016 2:00,155,20.87501,27.90001,36.06832,11.98333,11.75333,10.79999,12.86776,,
6/1/2016 3:00,156,20.77834,27.90001,36.07833,11.45833,11.74667,10.79999,12.83166,,
6/1/2016 4:00,157,20.825,27.90001,36.05667,10.98333,11.70001,10.79999,12.80816,,
6/1/2016 5:00,158,20.79667,27.90001,36.09666,10.53667,11.70001,10.825,12.78381,,
6/1/2016 6:00,159,20.95667,27.90001,36.05,10.19,11.64666,10.87834,12.76451,,
6/1/2016 7:00,160,21.10666,27.92501,36.07832,9.836664,11.59666,10.9,12.78885,,
6/1/2016 8:00,161,21.22166,27.90001,36.075,9.546667,11.49667,10.9,13.04992,,
6/1/2016 9:00,162,20.99667,27.87501,36.09666,9.531666,11.4,10.9,13.58128,,
6/1/2016 10:00,163,21.07833,27.90001,36.075,9.784998,11.32166,10.9,13.48726,,
6/1/2016 11:00,164,21.04667,27.90001,36.09666,10.21667,11.24667,10.9,13.4411,,
6/1/2016 12:00,165,21.10667,27.87834,36.02499,10.82666,11.19667,10.9,13.42095,,
6/1/2016 13:00,166,20.93,27.91835,36.09998,11.71166,11.1,10.9,13.42095,,
6/1/2016 14:00,167,20.57166,27.82502,36.05333,12.975,11.1,10.9,13.39912,,
6/1/2016 15:00,168,20.34,27.80001,36.02501,14.60666,11.1,10.9,13.3689,,
6/1/2016 16:00,169,20.30334,27.77168,35.99334,16.00166,11.1,10.84666,13.35463,,
6/1/2016 17:00,170,20.10166,27.67498,35.98167,16.47833,11.10333,10.79999,13.35379,,
6/1/2016 18:00,171,19.51833,27.69665,35.99334,16.39,11.20334,10.79999,13.3454,,
6/1/2016 19:00,172,19.26832,27.67832,35.95667,16.115,11.30333,10.79999,13.28244,,
6/1/2016 20:00,173,19.27666,27.70001,35.95002,15.73666,11.40334,10.79999,13.15149,,
6/1/2016 21:00,174,18.895,27.59999,35.99334,15.33667,11.52833,10.79999,13.07342,,
6/1/2016 22:00,175,18.75168,27.64666,35.95667,14.77667,11.62834,10.79999,13.02306,,
6/1/2016 23:00,176,18.63166,27.6,35.99334,14.10167,11.70334,10.79999,12.98108,,
6/2/2016 0:00,177,18.57499,27.6,36.02832,13.455,11.79999,10.79999,12.93743,,
6/2/2016 1:00,178,18.59999,27.67832,35.97167,12.88,11.79999,10.79999,12.90217,,
6/2/2016 2:00,179,18.475,27.66832,36.00666,12.30832,11.82833,10.79999,12.87028,,
6/2/2016 3:00,180,18.59999,27.60331,36.02167,11.83666,11.82499,10.87834,12.84258,,
6/2/2016 4:00,181,18.59999,27.65333,36,11.43666,11.84666,10.9,12.8132,,
6/2/2016 5:00,182,18.52166,27.64332,36,11.115,11.79999,10.9,12.79725,,
6/2/2016 6:00,183,18.525,27.62499,36,10.765,11.77167,10.9,12.78214,,
6/2/2016 7:00,184,18.5,27.52833,35.92501,10.465,11.70001,10.9,12.8325,,
6/2/2016 8:00,185,18.5,27.54666,35.92168,10.29999,11.64666,10.9,13.16912,,
6/2/2016 9:00,186,18.475,27.55,35.95333,10.41,11.59666,10.9,13.32861,,
6/2/2016 10:00,187,18.5,27.63165,35.99666,10.73834,11.5,10.9,13.59135,,
6/2/2016 11:00,188,18.42168,27.59665,35.95,11.16334,11.42167,10.9,13.4604,,
6/2/2016 12:00,189,18.40001,27.62499,35.90001,11.72333,11.39667,10.9,13.40416,,
6/2/2016 13:00,190,18.4,27.57499,35.92501,12.42667,11.29999,10.9,13.37142,,
6/2/2016 14:00,191,18.37167,27.60333,35.90001,13.28667,11.29999,10.9,13.35715,,
6/2/2016 15:00,192,18.275,27.59665,35.92501,14.52166,11.29999,10.9,13.33952,,
6/2/2016 16:00,193,18.25,27.5,35.95668,15.82666,11.29999,10.9,13.3412,,
6/2/2016 17:00,194,18.12165,27.54,35.94668,16.20001,11.37834,10.9,13.32861,,
6/2/2016 18:00,195,18.15,27.45667,35.94334,16.14666,11.42833,10.9,13.30091,,
6/2/2016 19:00,196,18.07167,27.5,35.85334,15.99001,11.52833,10.9,13.21696,,
6/2/2016 20:00,197,17.99667,27.49667,35.92834,15.63667,11.62834,10.9,13.12631,,
6/2/2016 21:00,198,18.025,27.42168,35.94667,15.26167,11.70334,10.9,13.05495,,
6/2/2016 22:00,199,18.02499,27.40667,35.82502,14.83667,11.80333,10.9,13.0113,,
6/2/2016 23:00,200,18,27.41835,35.85003,14.38333,11.9,10.9,12.96681,,
6/3/2016 0:00,201,18,27.425,35.85001,13.93667,11.92833,10.9,12.92904,,
6/3/2016 1:00,202,17.965,27.35002,35.87169,13.53667,12,10.9,12.89042,,
6/3/2016 2:00,203,17.88168,27.43167,35.82503,13.13667,12,10.9,12.86356,,
6/3/2016 3:00,204,17.875,27.46834,35.87835,12.73999,12,10.92834,12.8409,,
6/3/2016 4:00,205,17.87168,27.43167,35.90001,12.46501,12,11,12.82914,,
