Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp
6/1/2016 22:00,175,18.00333,29.02499,33.92501,16.57333,12.65334,11.79999,12.98696
6/1/2016 23:00,176,18.00333,29.02499,33.92168,15.77333,12.72833,11.80333,12.93743
6/2/2016 0:00,177,18.07499,29.05998,33.92501,15.00167,12.79999,11.875,12.88958
6/2/2016 1:00,178,18.07499,29.05,33.95333,14.32666,12.87834,11.9,12.86104
6/2/2016 2:00,179,18.125,29.04,33.92168,13.70833,12.90334,11.9,12.82663
6/2/2016 3:00,180,18.075,28.95,33.92501,13.155,13,11.9,12.79389
6/2/2016 4:00,181,18.09999,29.03165,33.92834,12.63667,13,11.9,12.7771
6/2/2016 5:00,182,18.125,29.09665,33.92168,12.23666,12.94667,11.92833,12.76115
6/2/2016 6:00,183,18.12499,29.00333,33.90002,11.83666,12.90001,12,12.7452
6/2/2016 7:00,184,18.10333,29.12498,33.92168,11.43999,12.89667,12,12.81907
6/2/2016 8:00,185,18.12499,29.07166,33.87502,11.22501,12.79999,12,13.25726
6/2/2016 9:00,186,18.09333,29.02833,33.87835,11.385,12.77167,12,13.39577
6/2/2016 10:00,187,18.05332,29.01834,33.90002,11.76334,12.70001,12,13.52672
6/2/2016 11:00,188,18.09666,29.00666,33.90335,12.27,12.64666,12,13.40836
6/2/2016 12:00,189,18,29.025,33.89669,12.98,12.59999,12,13.34876
6/2/2016 13:00,190,17.94667,29.025,33.90002,13.905,12.52167,12,13.31686
6/2/2016 14:00,191,18.00333,28.97501,33.90002,14.865,12.5,12,13.28748
6/2/2016 15:00,192,17.965,29.04666,33.89668,16.06499,12.5,12,13.26985
6/2/2016 16:00,193,17.77499,28.97501,33.85002,17.17666,12.5,12,13.27656
6/2/2016 17:00,194,17.69999,29.02499,33.85334,17.83834,12.5,12,13.25978
6/2/2016 18:00,195,17.64999,29.025,33.79666,18.07832,12.5,11.92167,13.24299
6/2/2016 19:00,196,17.62165,28.95001,33.79667,18.06833,12.57833,11.9,13.20102
6/2/2016 20:00,197,17.65334,28.975,33.83168,17.73666,12.65334,11.9,13.10616
6/2/2016 21:00,198,17.67166,28.92168,33.82167,17.25833,12.70334,11.9,13.02893
6/2/2016 22:00,199,17.59999,28.97833,33.82835,16.73,12.80333,11.9,12.98024
6/2/2016 23:00,200,17.41833,28.92501,33.85001,16.13,12.90001,11.90334,12.92652
6/3/2016 0:00,201,17.60666,28.95001,33.87169,15.53,12.97833,12,12.89462
6/3/2016 1:00,202,17.63167,28.97501,33.77502,15.00833,13.02833,12,12.85936
6/3/2016 2:00,203,17.72166,28.99334,33.79668,14.53667,13.09999,12,12.82747
